longitude,latitude,sq,cluster
139.4741623,35.74696989,3621,1
139.4332996,35.79426762,3630,1
139.5061578,35.77727575,3641,1
139.2899036,35.79712826,3653,1
139.4112705,35.81788434,3654,1
139.4620435,35.8885529,3656,1
139.5217135,35.77879593,3657,1
139.4017119,35.96504006,3663,1
139.5111989,35.75300801,3713,1
139.4061434,35.85760556,3732,1
139.5395961,35.85661207,3754,1
139.4779589,35.93029922,3781,1
139.4519775,35.74666457,3794,1
139.5347623,35.84346237,3827,1
139.4760624,35.77004496,3846,1
139.3991558,35.82618921,3873,1
139.5125415,35.88338394,3882,1
139.2375836,35.78482962,3895,1
139.4809193,35.80974456,3911,1
139.4488599,35.76114444,3929,1
139.4987955,35.75318444,3944,1
139.4654483,35.79180664,3972,1
139.2300183,35.78125823,3984,1
139.3368774,35.76403643,3999,1
139.5439873,35.84541495,4002,1
139.3393167,35.75961694,4007,1
139.4931789,35.888269,4023,1
139.3809522,35.84377018,4039,1
139.5101337,35.87432538,4055,1
139.3099948,35.78697252,4056,1
139.3391211,35.75794095,4087,1
139.3828044,35.95240125,4090,1
139.400938,35.96688575,4097,1
139.3966723,36.04332319,4108,1
139.3238801,35.84969739,4112,1
139.4870181,35.7994691,4125,1
139.5342794,35.83860221,4136,1
139.3238378,35.7519336,4148,1
139.5380924,35.8466649,4155,1
139.4141181,35.90327698,4170,1
139.4372541,35.92773487,4173,1
139.5289168,35.87162851,4178,1
139.4105965,35.82644258,4183,1
139.4364682,35.79519024,4215,1
139.5292585,35.76843739,4239,1
139.3170525,35.78926368,4254,1
139.5279444,35.76116225,4322,1
139.2768584,35.73636981,4409,1
139.4240274,35.94350904,4440,1
139.3004116,35.78892122,4444,1
139.5016656,35.85991065,4453,1
139.4227218,35.81249064,4459,1
139.4019248,35.8656288,4464,1
139.3198559,35.78137005,4497,1
139.4708194,35.89844609,4550,1
139.3929568,35.83748205,4565,1
139.5530378,35.84046755,4584,1
139.4738106,35.75138921,4626,1
139.5275651,35.86439397,4645,1
139.3001063,35.77818626,4656,1
139.4488778,35.77988909,4688,1
139.454855,35.88897021,4703,1
139.2869659,35.78798078,4715,1
139.4973321,35.77920701,4716,1
139.4893108,35.90292954,4721,1
139.4799101,35.74708909,4724,1
139.4602161,35.79042416,4767,1
139.4170804,35.90930441,4781,1
139.3441094,35.90592488,4786,1
139.4776575,35.75169951,4791,1
139.4188139,35.90666792,4820,1
139.5426219,35.84338694,4847,1
139.4550329,35.76073796,4863,1
139.4062628,35.9101194,4923,1
139.4689397,35.91830195,4928,1
139.3782987,35.90840221,4951,1
139.537195,35.7781033,4959,1
139.3031201,35.77345655,4963,1
139.5327624,35.84545637,4966,1
139.4070008,35.80302703,4969,1
139.5074328,35.86095975,4975,1
139.3755754,35.85347879,4992,1
139.4389866,35.80589784,4993,1
139.4303346,35.84484154,5001,1
139.6814155,35.88939449,25,2
139.6519601,35.84617436,40,2
139.7597563,35.95091452,67,2
139.6337169,35.90934204,72,2
139.6743769,35.85030927,77,2
139.7154762,35.82031903,82,2
139.7979951,35.87321683,88,2
139.6497716,35.84120818,92,2
139.6345879,35.84677661,104,2
139.7957098,35.88335544,122,2
139.698039,35.8352328,129,2
139.5086984,36.06532967,159,2
139.5736388,36.00769439,163,2
139.6256026,35.94023726,179,2
139.6106721,35.94750953,180,2
139.6925198,35.82802197,184,2
139.6035926,35.87510729,211,2
139.7444752,35.8706462,222,2
139.5264866,36.03389462,227,2
139.56334,35.97707002,302,2
139.5628265,35.9538486,304,2
139.5239988,36.03465195,326,2
139.6888734,36.06511151,342,2
139.7795438,35.92807081,369,2
139.7018615,35.85343928,380,2
139.5347074,36.01439147,399,2
139.6389906,35.97444168,433,2
139.7143482,35.82679541,437,2
139.7370347,35.82498608,443,2
139.7221786,35.82654366,471,2
139.6832176,35.94256178,473,2
139.7681804,35.95251776,512,2
139.6159047,35.91174565,522,2
139.7498939,35.9698131,523,2
139.8097732,35.99164004,564,2
139.6170238,35.85906791,567,2
139.6179006,36.00185659,568,2
139.776539,35.96670914,576,2
139.7926368,35.87116351,578,2
139.6501788,35.95557255,581,2
139.6564028,36.07181877,586,2
139.620096,35.90337501,613,2
139.6174324,35.91482157,637,2
139.6725876,35.82666932,643,2
139.6413421,35.84101892,656,2
139.7280021,35.82701807,673,2
139.688476,35.84906845,680,2
139.727194,35.96688841,686,2
139.6505157,35.86556546,693,2
139.5631253,35.96690759,703,2
139.6045115,35.94459108,714,2
139.6044794,36.06540744,722,2
139.6243982,35.97434555,724,2
139.6374855,35.88082154,730,2
139.7733179,35.89764044,731,2
139.6101272,35.89020683,740,2
139.7623791,35.92911032,750,2
139.8308116,35.98044189,753,2
